size,time,label,result
40000,559554,17,TRUE
45000,636560,17,TRUE
50000,713566,17,TRUE
55000,790572,17,TRUE
60000,867578,17,TRUE
65000,944584,17,TRUE
70000,875436,17,TRUE
75000,960712,17,TRUE
80000,882321,17,TRUE
85000,1064201,17,TRUE
90000,997937,17,TRUE
95000,1262069,17,TRUE
100000,1209960,17,TRUE
10000,101759,18,TRUE
15000,159623,18,TRUE
20000,179898,18,TRUE
25000,232033,18,TRUE
30000,286726,18,TRUE
35000,323997,18,TRUE
40000,354265,18,TRUE
45000,397172,18,TRUE
50000,440079,18,TRUE
55000,504352,18,TRUE
60000,524303,18,TRUE
65000,544254,18,TRUE
70000,632641,18,TRUE
75000,683955,18,TRUE
80000,883006,18,TRUE
85000,1047143,18,TRUE
90000,831455,18,TRUE
95000,857127,18,TRUE
100000,1198530,18,TRUE
10000,305796,19,TRUE
15000,451655,19,TRUE
20000,599005,19,TRUE
25000,743848,19,TRUE
30000,890159,19,TRUE
35000,1043073,19,TRUE
40000,1199628,19,TRUE
45000,1348043,19,TRUE
50000,1498307,19,TRUE
55000,1652070,19,TRUE
60000,1808890,19,TRUE
65000,1966304,19,TRUE
70000,2119528,19,TRUE
75000,2266777,19,TRUE
80000,2418110,19,TRUE
85000,2576152,19,TRUE
90000,2710264,19,TRUE
95000,2862473,19,TRUE
100000,3012617,19,TRUE
10000,32253341,20,TRUE
15000,32253341,20,TRUE
20000,32253341,20,TRUE
25000,32253341,20,TRUE
30000,32253341,20,TRUE
35000,32253341,20,TRUE
40000,32253341,20,TRUE
45000,32253341,20,TRUE
50000,32253341,20,TRUE
55000,32253341,20,TRUE
60000,32253341,20,TRUE
65000,32253341,20,TRUE
70000,32253341,20,TRUE
75000,32253341,20,TRUE
80000,32253341,20,TRUE
85000,32253341,20,TRUE
90000,32253341,20,TRUE
95000,32253341,20,TRUE
100000,32253341,20,TRUE
10000,238177,21,TRUE
15000,353456,21,TRUE
20000,454070,21,TRUE
25000,560075,21,TRUE
30000,671245,21,TRUE
35000,795304,21,TRUE
40000,907627,21,TRUE
45000,990474,21,TRUE
50000,1103308,21,TRUE
55000,1215929,21,TRUE
60000,1328098,21,TRUE
65000,1426048,21,TRUE
70000,1559751,21,TRUE
75000,1662856,21,TRUE
80000,1767546,21,TRUE
85000,1860329,21,TRUE
90000,1972670,21,TRUE
95000,2067011,21,TRUE
100000,2155504,21,TRUE
10000,32648145,22,TRUE
15000,32648145,22,TRUE
20000,32648145,22,TRUE
25000,32648145,22,TRUE
30000,32648145,22,TRUE
35000,32648145,22,TRUE
40000,32648145,22,TRUE
45000,32648145,22,TRUE
50000,32648145,22,TRUE
55000,32648145,22,TRUE
60000,32648145,22,TRUE
65000,32648145,22,TRUE
70000,32648145,22,TRUE
75000,32648145,22,TRUE
80000,32648145,22,TRUE
85000,32648145,22,TRUE
90000,32648145,22,TRUE
95000,32648145,22,TRUE
100000,32648145,22,TRUE
10000,95838,23,FALSE
15000,140731,23,FALSE
20000,186414,23,FALSE
25000,231604,23,FALSE
30000,277068,23,FALSE
35000,321469,23,FALSE
40000,367621,23,FALSE
45000,411181,23,FALSE
50000,455506,23,FALSE
55000,520893,23,FALSE
60000,552312,23,FALSE
65000,597839,23,FALSE
70000,642858,23,FALSE
75000,689478,23,FALSE
80000,733117,23,FALSE
85000,783663,23,FALSE
90000,831837,23,FALSE
95000,876695,23,FALSE
100000,920016,23,FALSE
10000,32215457,24,TRUE
15000,32215457,24,TRUE
20000,32215457,24,TRUE
25000,32215457,24,TRUE
30000,32215457,24,TRUE
35000,32215457,24,TRUE
40000,32215457,24,TRUE
45000,32215457,24,TRUE
50000,32215457,24,TRUE
55000,32215457,24,TRUE
60000,32215457,24,TRUE
65000,32215457,24,TRUE
70000,32215457,24,TRUE
75000,32215457,24,TRUE
80000,32215457,24,TRUE
85000,32215457,24,TRUE
90000,32215457,24,TRUE
95000,32215457,24,TRUE
100000,32215457,24,TRUE
10000,53767,25,TRUE
15000,77750,25,TRUE
20000,112668,25,TRUE
25000,127669,25,TRUE
30000,174585,25,TRUE
35000,203109,25,TRUE
40000,297331,25,TRUE
45000,1004917,25,TRUE
50000,253585,25,TRUE
