id,samples,features,info,class,n_jobs,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,iteration,mutli-class
141,60000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
142,61000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
143,62000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
144,63000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
145,64000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
146,65000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
147,66000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
148,67000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
149,68000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
150,69000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
151,70000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
152,71000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
153,72000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
154,73000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
155,74000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
156,75000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
157,76000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
158,77000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
159,78000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
160,79000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
161,80000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
162,81000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
163,82000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
164,83000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
165,84000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
166,85000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
167,86000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
168,87000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
169,88000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
170,89000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
171,90000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
172,91000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
173,92000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
174,93000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
175,94000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
176,95000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
177,96000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
178,97000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
179,98000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
180,99000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
181,10000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
182,11000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
183,12000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
184,13000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
185,14000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
186,15000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
187,16000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
188,17000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
189,18000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
190,19000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
191,20000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
192,21000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
193,22000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
194,23000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
195,24000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
196,25000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
197,26000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
198,27000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
199,28000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
200,29000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
201,30000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
202,31000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
203,32000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
204,33000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
205,34000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
206,35000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
207,36000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
208,37000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
209,38000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
210,39000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
211,40000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
212,41000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
213,42000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
214,43000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
215,44000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
216,45000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
217,46000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
218,47000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
219,48000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
220,49000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
221,50000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
222,51000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
223,52000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
224,53000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
225,54000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
226,55000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
227,56000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
228,57000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
229,58000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
230,59000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
231,60000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
232,61000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
233,62000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
234,63000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
235,64000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
236,65000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
237,66000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
238,67000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
239,68000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
240,69000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
241,70000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
242,71000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
243,72000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
244,73000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
245,74000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
246,75000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
247,76000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
248,77000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
249,78000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
250,79000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
251,80000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
252,81000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
253,82000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
254,83000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
255,84000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
256,85000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
257,86000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
258,87000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
259,88000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
260,89000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
261,90000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
262,91000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
263,92000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
264,93000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
265,94000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
266,95000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
267,96000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
268,97000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
269,98000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
270,99000,50,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr'
271,10000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
272,11000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
273,12000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
274,13000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
275,14000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
276,15000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
277,16000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
278,17000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
279,18000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
280,19000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
281,20000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
282,21000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
283,22000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
284,23000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
285,24000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
286,25000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
287,26000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
288,27000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
289,28000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
290,29000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
291,30000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
292,31000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
293,32000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
294,33000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
295,34000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
296,35000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
297,36000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
298,37000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
299,38000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
300,39000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
301,40000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
302,41000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
303,42000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
304,43000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
305,44000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
306,45000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
307,46000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
308,47000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
309,48000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
310,49000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
311,50000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
312,51000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
313,52000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
314,53000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
315,54000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
316,55000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
317,56000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
318,57000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
319,58000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
320,59000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
321,60000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
322,61000,50,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr'
