id,label,weight,info,class,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,mutli-class
165,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
166,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
167,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
168,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
169,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
170,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
171,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
172,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
173,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
174,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
175,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
176,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
177,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
178,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
179,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
180,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
181,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
182,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
183,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
184,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
185,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
186,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
187,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
188,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
189,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
190,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
